                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.11034,                0.13554,                0.75997,                0.97162,                0.97213,                0.98834,                0.82946,                0.40979,                0.34792,                 1.0785,             0.00079238,             0.00079238,             0.00079238
                     48,                0.10385,                0.12879,                0.75884,                0.97183,                0.98138,                0.99033,                0.83131,                0.38628,                0.34384,                 1.0666,             0.00077823,             0.00077823,             0.00077823
                     49,                0.10474,                0.12749,                0.75912,                0.97617,                0.97297,                0.98931,                0.83886,                0.37978,                0.31004,                 1.0916,             0.00076409,             0.00076409,             0.00076409
                     50,                 0.1043,                0.13065,                0.75984,                0.96553,                 0.9824,                0.98939,                0.83033,                0.41045,                0.32423,                 1.0861,             0.00074994,             0.00074994,             0.00074994
                     51,                0.10309,                0.13025,                0.76227,                0.96698,                0.98291,                0.99007,                0.83839,                0.39338,                0.32581,                 1.1051,             0.00073579,             0.00073579,             0.00073579
                     52,                 0.0971,                 0.1223,                0.75792,                0.96775,                0.98444,                0.99004,                0.83572,                  0.385,                 0.3295,                 1.0749,             0.00072164,             0.00072164,             0.00072164
                     53,                0.09323,                0.11642,                0.75911,                0.98258,                0.97197,                0.99046,                0.83616,                0.38608,                0.32546,                 1.0776,              0.0007075,              0.0007075,              0.0007075
                     54,                 0.0868,                0.11182,                0.75642,                0.97333,                0.98036,                0.99023,                0.84092,                0.37474,                0.32974,                 1.0893,             0.00069335,             0.00069335,             0.00069335
                     55,                0.08897,                0.11103,                0.75526,                0.97335,                0.97705,                0.98941,                0.84111,                0.38946,                0.31866,                 1.0722,              0.0006792,              0.0006792,              0.0006792
                     56,                0.08513,                0.10967,                 0.7569,                0.96883,                0.98317,                0.98997,                0.84001,                0.37785,                0.32106,                 1.0728,             0.00066506,             0.00066506,             0.00066506
                     57,                0.08287,                0.10561,                0.75486,                0.97315,                0.97654,                0.98961,                0.83705,                0.38686,                0.32019,                 1.0739,             0.00065091,             0.00065091,             0.00065091
                     58,                0.08926,                0.11135,                0.75365,                0.96838,                0.98113,                0.98948,                0.83709,                0.37894,                 0.3215,                 1.0785,             0.00063676,             0.00063676,             0.00063676
                     59,                0.08012,                0.10328,                0.75518,                0.97583,                0.97732,                0.98984,                0.83902,                0.38208,                0.32231,                 1.0811,             0.00062262,             0.00062262,             0.00062262
                     60,                0.08429,                0.10469,                0.75515,                0.96867,                 0.9847,                0.99001,                0.83979,                0.38891,                0.31017,                 1.0825,             0.00060847,             0.00060847,             0.00060847
                     61,                0.08487,                0.10261,                0.75577,                0.97841,                0.97686,                 0.9904,                0.84026,                0.38087,                0.31015,                 1.0767,             0.00059432,             0.00059432,             0.00059432
                     62,                0.07614,                0.09754,                 0.7564,                0.97711,                0.97904,                0.99053,                 0.8395,                0.38584,                0.31318,                 1.0848,             0.00058017,             0.00058017,             0.00058017
                     63,                0.06833,                0.09401,                0.75733,                0.97343,                0.97966,                0.98974,                0.84315,                0.37823,                0.31434,                 1.0837,             0.00056603,             0.00056603,             0.00056603
                     64,                0.07035,                0.09467,                0.75626,                 0.9759,                0.97921,                0.99102,                0.83996,                0.38912,                0.31842,                 1.0904,             0.00055188,             0.00055188,             0.00055188
                     65,                 0.0792,                0.09869,                0.75915,                0.98028,                0.97628,                0.99086,                0.84232,                0.38486,                0.30556,                 1.0954,             0.00053773,             0.00053773,             0.00053773
                     66,                0.07286,                0.09425,                0.75519,                0.97869,                 0.9736,                0.99021,                0.84047,                0.37683,                0.31481,                 1.1005,             0.00052359,             0.00052359,             0.00052359
                     67,                0.07199,                 0.0933,                0.75558,                0.97402,                 0.9784,                0.98997,                0.84321,                0.37142,                0.31302,                 1.0893,             0.00050944,             0.00050944,             0.00050944
                     68,                0.06385,                0.08834,                0.75702,                 0.9703,                0.98444,                0.99039,                  0.843,                0.37078,                0.31211,                 1.0812,             0.00049529,             0.00049529,             0.00049529
                     69,                0.06628,                0.08993,                0.75592,                0.97629,                0.97945,                0.99059,                0.84254,                0.37533,                 0.3112,                 1.0785,             0.00048114,             0.00048114,             0.00048114
                     70,                0.06362,                0.08812,                 0.7538,                0.97902,                0.97705,                0.99055,                0.84313,                0.37626,                0.30938,                 1.0876,               0.000467,               0.000467,               0.000467
                     71,                0.06458,                0.08753,                0.75651,                0.97897,                0.97348,                 0.9905,                0.84222,                0.37624,                0.30898,                 1.0916,             0.00045285,             0.00045285,             0.00045285
                     72,                0.06002,                0.08338,                0.75563,                0.97848,                0.97515,                0.98994,                0.84064,                0.39153,                0.30677,                  1.096,              0.0004387,              0.0004387,              0.0004387
                     73,                0.06485,                0.08621,                0.75402,                0.97271,                0.97883,                 0.9904,                0.83911,                0.37947,                0.31041,                 1.0932,             0.00042456,             0.00042456,             0.00042456
                     74,                0.05862,                0.08277,                 0.7547,                0.97734,                0.97498,                 0.9901,                0.84041,                0.37474,                0.31455,                 1.0996,             0.00041041,             0.00041041,             0.00041041
                     75,                0.06293,                0.08766,                0.75815,                 0.9726,                0.97503,                0.98975,                0.83163,                0.39769,                0.32366,                 1.0953,             0.00039626,             0.00039626,             0.00039626
                     76,                0.06494,                0.08779,                0.75645,                0.97186,                0.97455,                0.98923,                0.83901,                0.37712,                0.31277,                 1.1125,             0.00038211,             0.00038211,             0.00038211
                     77,                0.05908,                0.08307,                0.75738,                0.97406,                0.97394,                0.98961,                0.83891,                0.37545,                0.31782,                 1.0963,             0.00036797,             0.00036797,             0.00036797
                     78,                0.05656,                 0.0822,                0.75561,                0.97412,                0.97634,                0.99013,                0.83978,                0.37641,                0.31752,                 1.0947,             0.00035382,             0.00035382,             0.00035382
                     79,                0.05613,                0.07997,                0.75579,                0.97311,                0.97534,                0.98957,                0.83902,                 0.3656,                0.32077,                 1.0892,             0.00033967,             0.00033967,             0.00033967
                     80,                0.05094,                0.07524,                0.75403,                0.97669,                0.97648,                0.99044,                0.84062,                0.37018,                 0.3179,                  1.095,             0.00032553,             0.00032553,             0.00032553
                     81,                0.05146,                0.07518,                 0.7536,                0.97696,                0.97642,                0.99031,                0.84101,                0.37517,                 0.3146,                 1.0935,             0.00031138,             0.00031138,             0.00031138
                     82,                0.05101,                0.07519,                0.75453,                 0.9744,                 0.9801,                0.99058,                0.84099,                0.37637,                0.31644,                 1.0967,             0.00029723,             0.00029723,             0.00029723
                     83,                0.04864,                0.07314,                0.75302,                0.97409,                0.97907,                 0.9903,                0.84113,                0.37815,                0.31473,                 1.1006,             0.00028308,             0.00028308,             0.00028308
                     84,                0.04919,                0.07289,                0.75209,                0.97557,                0.97482,                0.98978,                0.84167,                0.37831,                0.30777,                 1.1022,             0.00026894,             0.00026894,             0.00026894
                     85,                0.04697,                0.07206,                 0.7533,                0.97858,                0.97575,                0.99036,                0.84067,                0.37995,                0.30746,                 1.1046,             0.00025479,             0.00025479,             0.00025479
                     86,                0.04572,                 0.0694,                0.75322,                0.97702,                0.97396,                0.99012,                0.84337,                0.36968,                0.31443,                 1.1024,             0.00024064,             0.00024064,             0.00024064
                     87,                0.04772,                0.07007,                0.75403,                0.97901,                0.97474,                0.99017,                0.84198,                0.37452,                0.31329,                 1.1021,              0.0002265,              0.0002265,              0.0002265
